Date,Location ISO Code,Location,New Cases,New Deaths
06/04/20,ID-SN,Sulawesi Selatan,29,0
06/04/20,ID-ST,Sulawesi Tengah,0,0
06/04/20,ID-SG,Sulawesi Tenggara,1,0
06/04/20,ID-SA,Sulawesi Utara,2,0
06/04/20,ID-SB,Sumatera Barat,10,0
06/04/20,ID-SS,Sumatera Selatan,0,0
06/04/20,ID-SU,Sumatera Utara,1,0
07/04/20,ID-AC,Aceh,0,0
07/04/20,ID-BA,Bali,0,0
07/04/20,ID-BT,Banten,6,1
07/04/20,ID-BE,Bengkulu,0,0
07/04/20,ID-JK,DKI Jakarta,111,14
07/04/20,ID-YO,Daerah Istimewa Yogyakarta,1,0
07/04/20,IDN,Indonesia,247,12
07/04/20,ID-JA,Jambi,0,0
07/04/20,ID-JB,Jawa Barat,79,0
07/04/20,ID-JT,Jawa Tengah,1,0
07/04/20,ID-JI,Jawa Timur,5,0
07/04/20,ID-KB,Kalimantan Barat,0,0
07/04/20,ID-KS,Kalimantan Selatan,0,2
07/04/20,ID-KT,Kalimantan Tengah,0,0
07/04/20,ID-KI,Kalimantan Timur,0,0
07/04/20,ID-KU,Kalimantan Utara,0,0
07/04/20,ID-BB,Kepulauan Bangka Belitung,0,0
07/04/20,ID-KR,Kepulauan Riau,0,0
07/04/20,ID-LA,Lampung,0,0
07/04/20,ID-MA,Maluku,0,0
07/04/20,ID-MU,Maluku Utara,0,0
07/04/20,ID-NB,Nusa Tenggara Barat,0,0
07/04/20,ID-PA,Papua,0,1
07/04/20,ID-PB,Papua Barat,0,0
07/04/20,ID-RI,Riau,0,0
07/04/20,ID-SR,Sulawesi Barat,0,0
07/04/20,ID-SN,Sulawesi Selatan,10,0
07/04/20,ID-ST,Sulawesi Tengah,0,0
07/04/20,ID-SG,Sulawesi Tenggara,0,0
07/04/20,ID-SA,Sulawesi Utara,3,1
07/04/20,ID-SB,Sumatera Barat,0,0
07/04/20,ID-SS,Sumatera Selatan,0,0
07/04/20,ID-SU,Sumatera Utara,0,0
08/04/20,ID-AC,Aceh,0,0
08/04/20,ID-BA,Bali,6,0
08/04/20,ID-BT,Banten,19,0
08/04/20,ID-BE,Bengkulu,0,0
08/04/20,ID-JK,DKI Jakarta,89,8
08/04/20,ID-YO,Daerah Istimewa Yogyakarta,0,3
08/04/20,IDN,Indonesia,218,19
08/04/20,ID-JA,Jambi,0,0
08/04/20,ID-JB,Jawa Barat,23,5
08/04/20,ID-JT,Jawa Tengah,7,2
08/04/20,ID-JI,Jawa Timur,2,0
